Symbol,Name,Market Cap,Country,Sector
AITRR,AI TRANSPORTATION ACQUISITION CORP Right,0,United States,
AIV,Apartment Investment and Management Company Common Stock,1261739843,United States,Real Estate
AIZ,Assurant Inc. Common Stock,9805499037,United States,Finance
AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061,1154989587,United States,Finance
AJG,Arthur J. Gallagher & Co. Common Stock,64557815000,United States,Finance
AJX,Great Ajax Corp. Common Stock,159170346,United States,Real Estate
AKAM,Akamai Technologies Inc. Common Stock,14646480928,United States,Consumer Discretionary
AKBA,Akebia Therapeutics Inc. Common Stock,302815022,United States,Health Care
AKR,Acadia Realty Trust Common Stock,2368895562,United States,Real Estate
AKRO,Akero Therapeutics Inc. Common Stock,1778815917,United States,Health Care
AKTS,Akoustis Technologies Inc. Common Stock,6735789,United States,Utilities
AKYA,Akoya BioSciences Inc. Common Stock,130183651,United States,Industrials
AL,Air Lease Corporation Class A Common Stock,4711242193,United States,Consumer Discretionary
ALAB,Astera Labs Inc. Common Stock,6574882371,United States,Technology
ALB,Albemarle Corporation Common Stock,10495717886,United States,Industrials
ALBT,Avalon GloboCare Corp. Common Stock,4795256,United States,Health Care
ALCE,Alternus Clean Energy Inc. Class A Common Stock,16488383,United States,Utilities
ALCO,Alico Inc. Common Stock,206815114,United States,
ALCY,Alchemy Investments Acquisition Corp 1 Class A Ordinary Shares,0,United States,Finance
ALCYW,Alchemy Investments Acquisition Corp 1 Warrants,0,United States,Finance
ALDX,Aldeyra Therapeutics Inc. Common Stock,367819401,United States,Health Care
ALE,Allete Inc.,3681786454,United States,Utilities
ALEC,Alector Inc. Common Stock,565435370,United States,Health Care
ALEX,Alexander & Baldwin Inc. Common Stock REIT Holding Company,1415398434,United States,Real Estate
ALF,Centurion Acquisition Corp. Class A Ordinary Shares,0,United States,
ALFUU,Centurion Acquisition Corp. Unit,0,United States,
ALG,Alamo Group Inc. Common Stock,2099763814,United States,Industrials
ALGM,Allegro MicroSystems Inc. Common Stock,4231344874,United States,Technology
ALGN,Align Technology Inc. Common Stock,16818044185,United States,Health Care
ALGS,Aligos Therapeutics Inc. Common Stock,44106221,United States,Health Care
ALGT,Allegiant Travel Company Common Stock,755108936,United States,Consumer Discretionary
ALHC,Alignment Healthcare Inc. Common Stock,2056474420,United States,Health Care
ALIM,Alimera Sciences Inc. Common Stock,300744432,United States,Health Care
ALIT,Alight Inc. Class A Common Stock,3862933523,United States,Consumer Discretionary
ALK,Alaska Air Group Inc. Common Stock,4982025742,United States,Consumer Discretionary
ALKT,Alkami Technology Inc. Common Stock,2913139439,United States,Technology
ALL,Allstate Corporation (The) Common Stock,48686444206,United States,Finance
ALLE,Allegion plc Ordinary Shares,11944389721,United States,Consumer Discretionary
ALLK,Allakos Inc. Common Stock,53870187,United States,Health Care
ALLO,Allogene Therapeutics Inc. Common Stock,608514512,United States,Health Care
